date,name,team,opponent,minutes,points,rebounds,assists,steals,blocks,turnovers,three_pt_fg,three_pt_attempts,two_pt_fg,two_pt_attempts,free_throws_made,free_throw_attempts,offensive_rebounds,defensive_rebounds,fouls,dk_points,dk_std,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,price,value,proj_own,position,roster_pos,injury,injury_notes,injury_confirmed,confirmed,site,slate,gid,pid,num_games,possessions,double_doubles,triple_doubles,timestamp,points_rebounds,points_assists,rebounds_assists,points_rebounds_assists,stocks
2024-12-06,Guerschon Yabusele,PHI,ORL,31.7291,9.48067,5.87067,1.68767,0.799667,0.596,1.12867,1.48367,4.18067,1.83333,3.188,1.363,1.681,1.369,4.50167,3.14533,22.3968,8.24624,16.5,21.75,27.5,31.25,37.25,43.0025,6000,3.685883333333334,0.00133333,PF,PF,,,False,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,3303ceb8-2460-4181-9e4e-99506729957a,c9b3cbbe-1e2a-4e9c-aec6-b3bf848c5da9,3000,60.3027,0.0516667,0.0,1733517444000,15.35134,11.16834,7.558339999999999,17.03901,1.395667
2024-12-06,Reggie Jackson,PHI,ORL,3.29161,1.819,0.261333,0.335667,0.0713333,0.0233333,0.244667,0.229333,0.692333,0.393,0.876,0.345,0.408667,0.0623333,0.199,0.266,2.83083,4.74262,0.0,0.0,4.0,7.0,12.75,21.0,3600,0.7431749999999999,0.0,PG,PG,,,False,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,3303ceb8-2460-4181-9e4e-99506729957a,3712e9a0-5ea4-4f3c-b586-7c0f9ea82ab7,3000,6.32167,0.0,0.0,1733517444000,2.080333,2.154667,0.597,2.416,0.0946666
2024-12-06,Franz Wagner,ORL,PHI,36.7361,27.1843,5.80367,5.39233,1.41367,0.473667,3.161,2.084,5.70867,8.06667,13.967,4.799,5.67767,1.21633,4.58733,3.38467,45.9616,11.402,38.0,45.75,53.75,57.75,64.75,72.505,9600,4.660229166666666,0.153333,SF/PF,SF/PF,,,True,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,3303ceb8-2460-4181-9e4e-99506729957a,705a7599-38ef-4169-89d7-b0d0c0231a24,3000,69.2947,0.122667,0.00466667,1733517444000,32.987970000000004,32.57663,11.196000000000002,38.380300000000005,1.887337
2024-12-06,Tyrese Maxey,PHI,ORL,36.8211,23.1267,3.43567,4.842,1.332,0.340333,2.21367,2.793,7.189,5.29633,10.5567,4.155,4.83533,0.782667,2.653,3.43533,38.3726,10.9338,30.75,38.25,45.75,49.5,56.5,65.755,8900,4.192786516853933,0.0393333,PG,PG,,,True,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,3303ceb8-2460-4181-9e4e-99506729957a,3fa09146-0f72-4fbb-8a78-26db0017b737,3000,69.9847,0.036,0.0,1733517444000,26.56237,27.9687,8.27767,31.40437,1.672333
2024-12-06,Wendell Carter,ORL,PHI,26.4377,8.526,7.31333,2.02833,0.726333,0.562667,0.734667,0.725,2.242,2.47633,4.33533,1.39833,1.94033,1.498,5.81533,2.279,23.4588,8.63771,17.0,22.5,28.75,32.5,39.25,47.5025,4900,4.791183673469388,0.0433333,C,C,,,True,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,3303ceb8-2460-4181-9e4e-99506729957a,4e19fbc3-cdc6-4b5b-b80d-1d4c1e58053a,3000,49.8973,0.117,0.0,1733517444000,15.83933,10.55433,9.34166,17.86766,1.2890000000000001
2024-12-06,Jalen Suggs,ORL,PHI,34.1393,16.1293,3.47433,3.926,1.29933,0.771333,2.46167,2.06767,6.13867,3.62833,6.96533,2.66967,3.542,0.701,2.77333,2.47967,30.3261,9.5406,23.75,30.0,36.5,40.25,47.0,53.5025,6500,4.605830769230769,0.140667,SG/PG,SG/PG,,,True,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,3303ceb8-2460-4181-9e4e-99506729957a,6c9e0530-c059-4fac-8794-d2f46b600a29,3000,64.3157,0.013,0.000333333,1733517444000,19.603630000000003,20.055300000000003,7.40033,23.529630000000004,2.070663
2024-12-06,Goga Bitadze,ORL,PHI,25.0848,8.78533,6.81767,2.766,0.787667,1.478,1.07167,0.306,0.969333,3.23433,5.03033,1.39867,2.12767,1.365,5.45267,1.63867,25.7444,9.13795,19.25,25.0,31.5,35.25,42.25,50.25,5600,4.793017857142857,0.0573333,C,C,,,True,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,3303ceb8-2460-4181-9e4e-99506729957a,6b90d951-dcb0-4241-b9cf-c3a28155eb61,3000,47.2887,0.0923333,0.000333333,1733517444000,15.603,11.55133,9.58367,18.369,2.265667
2024-12-06,Paul George,PHI,ORL,32.4241,17.1337,4.83433,4.35367,1.508,0.520667,2.477,2.267,6.277,3.63433,7.66267,3.064,3.527,1.11467,3.71967,1.97733,33.7309,10.5479,26.25,33.25,40.5,44.75,52.25,61.0,7700,4.295376623376622,0.0993333,SF/SG,SF/SG,,,True,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,3303ceb8-2460-4181-9e4e-99506729957a,758b3386-83e4-4c8b-a460-dbecc128be90,3000,61.636,0.0463333,0.000666667,1733517444000,21.96803,21.487370000000002,9.187999999999999,26.3217,2.028667
2024-12-06,Kyle Lowry,PHI,ORL,12.0198,2.771,1.28467,1.90533,0.52,0.155333,0.471667,0.482667,1.50767,0.374667,0.809333,0.573667,0.694,0.297333,0.987333,0.907333,8.5915,7.14134,2.25,7.75,13.3125,16.25,21.5,28.2525,3900,2.2371615384615384,0.0,PG,PG,,,False,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,3303ceb8-2460-4181-9e4e-99506729957a,79e1fa86-5aab-44b7-9911-7b3d19a5e955,3000,22.8537,0.000333333,0.0,1733517444000,4.05567,4.67633,3.19,5.961,0.675333
2024-12-06,Caleb Martin,PHI,ORL,12.8688,3.24267,1.81033,0.758333,0.418667,0.250667,0.475667,0.385333,1.15633,0.752667,1.56567,0.581333,0.755,0.420333,1.39,1.07467,7.93708,6.28316,2.5,7.25,12.0,14.75,19.25,25.5025,5000,1.6169799999999999,0.0,PF/SF,PF/SF,,,False,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,3303ceb8-2460-4181-9e4e-99506729957a,7b46e237-bd9e-42a3-9b75-488a60222aff,3000,24.4277,0.000333333,0.0,1733517444000,5.053,4.001003,2.568663,5.811333,0.669334
2024-12-06,Jonathan Isaac,ORL,PHI,17.7134,5.733,4.84533,0.868333,0.724667,1.03233,0.560333,0.680333,1.96733,1.37733,2.57067,0.937333,1.327,1.10267,3.74267,1.40433,16.7042,8.95774,10.4375,16.75,22.5,25.5,31.75,40.0025,4300,4.083860465116279,0.0466667,SF/PF,SF/PF,,,False,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,3303ceb8-2460-4181-9e4e-99506729957a,871f4d7b-a8a4-412c-b2ac-e6cb7aa10106,3000,33.4027,0.0253333,0.0,1733517444000,10.57833,6.6013329999999995,5.7136629999999995,11.446663,1.756997
2024-12-06,Ricky Council,PHI,ORL,9.28059,3.341,1.04367,0.664667,0.180333,0.0636667,0.267333,0.292667,0.9,0.705667,1.49233,1.05167,1.32733,0.251,0.792667,0.821333,6.14325,6.1057,0.0,4.75,10.0,12.75,17.7625,24.5,4100,1.4768463414634145,0.0,SG,SG,,,False,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,3303ceb8-2460-4181-9e4e-99506729957a,c77dd679-6182-4224-bf5f-e94601cbb17a,3000,17.777,0.0,0.0,1733517444000,4.38467,4.005667,1.7083370000000002,5.0493369999999995,0.24399969999999999
2024-12-06,Anthony Black,ORL,PHI,23.3762,7.17967,2.62433,3.58,0.637667,0.474,1.64433,0.731,1.87767,1.892,3.507,1.20267,1.794,0.578333,2.046,2.162,17.6028,7.14451,12.75,17.5,22.0,25.0,29.5,36.0,4000,4.347375,0.0833333,PG/SG,PG/SG,,,False,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,3303ceb8-2460-4181-9e4e-99506729957a,9601fd77-fc04-4af8-8713-f914d6024b30,3000,44.3603,0.004,0.0,1733517444000,9.804,10.75967,6.204330000000001,13.384,1.111667
2024-12-06,Moritz Wagner,ORL,PHI,20.5792,12.307,5.287,2.016,0.714667,0.441667,1.548,0.786667,2.346,3.59433,5.478,2.75833,3.39667,1.141,4.146,1.68933,23.9613,10.039,17.0,23.5,30.5,34.5,41.0,49.25,5000,4.7192799999999995,0.109333,C/PF,C/PF,,,False,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,3303ceb8-2460-4181-9e4e-99506729957a,cd58c312-06a1-4610-802b-16da2fa411e8,3000,39.2017,0.0596667,0.0,1733517444000,17.594,14.323,7.303,19.61,1.156334
2024-12-06,Kentavious Caldwell-Pope,ORL,PHI,29.9103,9.181,2.61033,2.19667,1.208,0.498,0.931333,1.527,4.11967,1.649,3.53667,1.302,1.49433,0.546333,2.064,2.35867,19.4487,7.57776,14.25,18.75,24.0625,27.25,33.0,39.0025,4500,4.398911111111111,0.056,SG,SG,,,True,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,3303ceb8-2460-4181-9e4e-99506729957a,9c0c0664-0328-45c6-b47c-a16be81db981,3000,56.4603,0.0,0.0,1733517444000,11.791329999999999,11.377669999999998,4.807,13.988,1.706
2024-12-06,Cole Anthony,ORL,PHI,2.16686,1.35233,0.415667,0.297,0.045,0.0203333,0.202333,0.148,0.425,0.292333,0.645,0.323667,0.385667,0.11,0.305667,0.200667,2.42092,5.00549,0.0,0.0,2.5625,5.5,13.75,24.0,3700,0.6189999999999999,0.0,PG/SG,PG/SG,,,False,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,3303ceb8-2460-4181-9e4e-99506729957a,5db54446-0ed8-4c0b-baca-ce8c0cb78b74,3000,4.162,0.0,0.0,1733517444000,1.767997,1.64933,0.7126669999999999,2.064997,0.0653333
2024-12-06,Tristan da Silva,ORL,PHI,16.6281,5.21767,2.418,1.719,0.388667,0.208,0.466333,0.648,1.723,1.19267,2.363,0.888333,1.14867,0.528,1.89,2.04367,12.1043,7.36152,6.75,12.0,17.0,19.5,24.75,32.25,3800,3.1635263157894737,0.004,SF,SF,,,False,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,3303ceb8-2460-4181-9e4e-99506729957a,3e01e4ae-ca55-4639-bb0b-3416f3e6eec5,3000,31.66,0.001,0.0,1733517444000,7.63567,6.93667,4.1370000000000005,9.35467,0.596667
2024-12-06,Andre Drummond,PHI,ORL,26.4725,10.068,10.4277,1.35433,1.68233,0.850667,1.77333,0.095,0.325333,3.98767,7.534,1.80767,3.116,2.45233,7.97533,2.348,29.8889,10.4536,22.0,29.25,37.0625,41.25,48.0,55.25,5100,5.968313725490196,0.125333,C,C,Q,,True,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,3303ceb8-2460-4181-9e4e-99506729957a,eff16438-2d85-4433-80bc-b45e4d0db37d,3000,49.8703,0.352,0.0,1733517444000,20.4957,11.422329999999999,11.782029999999999,21.85003,2.532997
2024-12-06,Jared McCain,PHI,ORL,23.851,13.986,3.02033,1.55233,0.78,0.085,1.51133,1.76967,4.751,3.09667,6.037,2.48367,2.97367,0.721667,2.29867,2.62533,21.9541,9.19366,15.5,21.5,27.75,31.5,38.25,44.7525,6400,3.2847812500000004,0.004,SG/PG,SG/PG,,,False,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,3303ceb8-2460-4181-9e4e-99506729957a,0706fa16-6fd8-4748-8c5c-a21fc01e73b9,3000,45.8057,0.00333333,0.0,1733517444000,17.006330000000002,15.53833,4.57266,18.558660000000003,0.865
2024-12-06,Jett Howard,ORL,PHI,8.35437,3.16,1.01733,0.82,0.0653333,0.170333,0.333667,0.65,1.93667,0.395667,0.763667,0.418667,0.533333,0.231333,0.786,0.607333,6.29117,6.66988,0.0,4.5,10.5,14.0,19.0,25.5025,3600,1.6622583333333334,0.0,SF,SF,,,False,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,3303ceb8-2460-4181-9e4e-99506729957a,f5079ed5-0665-4fb9-a0de-2755153761a7,3000,15.86,0.0,0.0,1733517444000,4.17733,3.98,1.8373300000000001,4.997330000000001,0.2356663
2024-12-06,KJ Martin,PHI,ORL,21.7914,5.72933,3.49567,1.34333,0.403667,0.683667,0.497333,0.331333,1.03033,1.86367,3.166,1.008,1.49367,0.824,2.67167,1.872,14.2081,6.55045,9.5,13.75,18.5,21.0,25.75,31.25,4400,3.341772727272727,0.0,PF,PF,,,True,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,3303ceb8-2460-4181-9e4e-99506729957a,afe5dc05-a727-485d-9501-70d9d75062ad,3000,41.372,0.00166667,0.0,1733517444000,9.225,7.07266,4.839,10.56833,1.087334
2024-12-06,Kelly Oubre,PHI,ORL,30.5765,11.0177,4.324,1.289,0.972,0.543333,1.274,1.33333,4.174,2.51867,5.14767,1.98033,2.67867,1.027,3.297,2.03433,21.4455,8.37169,15.5,20.75,27.0,30.5,36.25,42.0,5800,3.6917241379310344,0.00866667,SG/SF,SG/SF,,,True,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,3303ceb8-2460-4181-9e4e-99506729957a,3548175b-6072-4f1f-8058-d55f01dd8a7d,3000,58.0653,0.0193333,0.0,1733517444000,15.3417,12.3067,5.6129999999999995,16.6307,1.515333
2024-12-06,De'Andre Hunter,ATL,LAL,24.3219,15.911,3.51933,0.955667,0.669667,0.257667,1.32533,1.91667,4.94433,3.57167,6.52633,3.01767,3.70567,0.731667,2.78767,2.00733,23.902,9.49514,17.0,23.5,30.0,34.0,40.5125,47.5,5800,3.969724137931035,0.03,SF/PF,SF/PF,,,False,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,4fe5edea-4701-4fa3-b1d4-4cb03bcda76b,6a3a5022-d727-4db6-b43d-aa0ab8aea5df,3000,51.148,0.00533333,0.0,1733517444000,19.430329999999998,16.866667,4.474997,20.385996999999996,0.927334
2024-12-06,Dyson Daniels,ATL,LAL,31.9231,11.272,4.69833,2.815,2.19067,0.659,1.20933,1.354,3.79533,3.07567,5.14167,1.05867,1.63567,0.956667,3.74167,2.483,27.1751,9.08895,20.75,26.75,33.25,36.5,43.0,49.75,6700,4.249582089552239,0.0386667,SG/PG,SG/PG,,,True,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,4fe5edea-4701-4fa3-b1d4-4cb03bcda76b,b9180c6b-7013-4cdd-b592-0a904ab49455,3000,67.3553,0.024,0.0,1733517444000,15.97033,14.087,7.51333,18.785330000000002,2.8496699999999997
2024-12-06,Max Christie,LAL,ATL,22.6681,6.96533,2.82133,1.586,0.702667,0.429667,0.935667,0.979,2.83167,1.45333,2.87667,1.12167,1.374,0.667667,2.15367,2.06267,15.1583,6.79107,10.5,14.75,19.5,22.25,27.0,32.25,3900,3.895205128205128,0.008,SG,SG,,,False,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,4fe5edea-4701-4fa3-b1d4-4cb03bcda76b,7d14ae5c-3cd3-4a01-a4ee-0b9d8502abac,3000,47.3557,0.000666667,0.0,1733517444000,9.78666,8.55133,4.40733,11.37266,1.1323340000000002
2024-12-06,Clint Capela,ATL,LAL,26.895,10.8467,10.524,1.018,0.728333,0.922,0.802333,0.128333,0.362333,4.526,7.43333,1.40967,2.34267,2.20567,8.31833,1.684,29.0673,10.4026,21.25,28.25,36.3125,40.5,46.5125,54.75,6400,4.5548593749999995,0.0193333,C,C,,,True,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,4fe5edea-4701-4fa3-b1d4-4cb03bcda76b,8c6b4918-17fe-4a98-8e7e-08d4789861d1,3000,56.2063,0.383333,0.0,1733517444000,21.3707,11.864700000000001,11.542,22.3887,1.650333
2024-12-06,Rui Hachimura,LAL,ATL,27.5725,12.722,4.692,0.616,0.862333,0.525667,0.982,1.29433,3.50533,3.5,6.76867,1.839,2.47133,1.04667,3.64533,1.61467,22.4927,9.64765,15.5,21.5,28.3125,33.0,40.0,47.0,5100,4.403607843137255,0.0693333,SF/PF,SF/PF,,,True,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,4fe5edea-4701-4fa3-b1d4-4cb03bcda76b,0d36a8a7-3bc8-43dd-b28b-f64cf0b9b9f1,3000,57.5667,0.033,0.0,1733517444000,17.414,13.338,5.308,18.03,1.388
2024-12-06,Dominick Barlow,ATL,LAL,1.68308,0.770667,0.320667,0.174333,0.0303333,0.0293333,0.0766667,0.041,0.124,0.217667,0.422333,0.212333,0.289333,0.0803333,0.240333,0.229333,1.5345,2.89234,0.0,0.0,2.0,4.0,7.75,12.25,3500,0.43408571428571435,0.0,C,C,Q,,False,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,4fe5edea-4701-4fa3-b1d4-4cb03bcda76b,79587d1e-6e72-44e9-92fa-97d47d1bd4fc,3000,3.60633,0.0,0.0,1733517444000,1.091334,0.945,0.495,1.265667,0.0596666
2024-12-06,Onyeka Okongwu,ATL,LAL,22.8604,9.63033,6.38033,1.25733,0.691667,0.812333,0.719,0.288,0.812,3.476,5.20467,1.81433,2.352,1.31833,5.062,2.53367,22.4112,8.65312,16.5,22.0,28.0,31.25,37.25,45.0025,5400,4.252907407407407,0.0373333,C/PF,C/PF,,,False,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,4fe5edea-4701-4fa3-b1d4-4cb03bcda76b,dbf89143-9c6c-48a1-a182-55b4e8491541,3000,47.9277,0.0846667,0.0,1733517444000,16.01066,10.88766,7.63766,17.26799,1.504
2024-12-06,Maxwell Lewis,LAL,ATL,5.99036,2.25633,0.933667,0.601,0.199333,0.0533333,0.332333,0.226333,0.746333,0.534,1.188,0.509333,0.635,0.238,0.695667,0.431667,4.77725,6.07355,0.0,2.0,8.0,11.5,17.5,24.2525,3500,1.3439714285714284,0.0,SF,SF,,,False,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,4fe5edea-4701-4fa3-b1d4-4cb03bcda76b,706d324d-67aa-42c2-a490-1f71c97f0d32,3000,12.605,0.0,0.0,1733517444000,3.189997,2.85733,1.534667,3.790997,0.2526663
2024-12-06,Kobe Bufkin,ATL,LAL,12.4089,4.867,1.228,1.56333,0.385333,0.179667,0.641333,0.637667,1.909,1.161,2.23933,0.632,0.813,0.266667,0.961333,1.05433,9.87517,7.93204,3.25,8.875,15.0,18.5,24.75,30.75,3800,2.562965789473684,0.0,PG,PG,,,False,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,4fe5edea-4701-4fa3-b1d4-4cb03bcda76b,06d57d39-09a1-459e-93e4-96406eee7ba2,3000,25.9487,0.0,0.0,1733517444000,6.095,6.43033,2.7913300000000003,7.658329999999999,0.565
2024-12-06,Jalen Johnson,ATL,LAL,35.3047,19.0823,9.05867,5.16867,1.41,0.817667,2.393,1.71533,4.51167,5.76133,9.19067,2.41367,3.40133,1.85167,7.207,3.52767,42.9982,11.2062,35.5,43.0,50.5,54.75,61.5,68.7525,9100,4.614912087912088,0.136,PF/SF,PF/SF,,,True,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,4fe5edea-4701-4fa3-b1d4-4cb03bcda76b,44f7e57d-b8d0-4fe9-86c1-daa00c97addd,3000,74.3287,0.442667,0.0196667,1733517444000,28.14097,24.25097,14.227339999999998,33.30964,2.227667
2024-12-06,Armel Traore,LAL,ATL,12.6406,3.276,2.39,1.337,0.427667,0.211667,0.636,0.268667,0.960667,0.914,1.80267,0.642,0.883667,0.594,1.796,1.546,9.3655,7.22424,3.25,8.75,14.25,17.25,22.5,28.25,3600,2.619861111111111,0.0,SF,SF,,,False,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,4fe5edea-4701-4fa3-b1d4-4cb03bcda76b,9d7408de-a80b-4553-826e-9e2da0076ae0,3000,26.498,0.001,0.0,1733517444000,5.666,4.6129999999999995,3.7270000000000003,7.003,0.6393340000000001
2024-12-06,Zaccharie Risacher,ATL,LAL,26.6224,10.923,3.03067,1.89867,0.800667,0.455,0.959333,1.464,4.101,2.558,4.56733,1.415,1.98867,0.631333,2.39933,3.08267,20.326,8.66339,13.75,19.75,26.0,29.5,35.5,43.0,4900,4.125612244897959,0.00933333,SF,SF,,,True,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,4fe5edea-4701-4fa3-b1d4-4cb03bcda76b,65fcaf47-0773-4c36-a4c7-c73bd026b232,3000,55.5577,0.002,0.0,1733517444000,13.95367,12.821670000000001,4.92934,15.852340000000002,1.255667
2024-12-06,Cam Reddish,LAL,ATL,13.1524,3.00367,1.75067,0.983667,0.635667,0.163,0.37,0.347667,1.196,0.598667,1.449,0.763333,0.914667,0.417667,1.333,0.836,8.25367,6.39242,3.0,7.75,12.3125,15.25,19.7625,24.7525,3700,2.3259378378378375,0.0,SG/SF,SG/SF,,,False,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,4fe5edea-4701-4fa3-b1d4-4cb03bcda76b,1e45cc76-bd87-4c51-aad2-e8e5b55a7fc8,3000,27.3733,0.0,0.0,1733517444000,4.75434,3.987337,2.734337,5.738007,0.798667
2024-12-06,Bogdan Bogdanovic,ATL,LAL,22.0082,13.3487,3.06967,2.32533,0.906,0.373333,1.24867,2.48067,6.341,2.074,3.839,1.75867,2.02067,0.654667,2.415,1.49533,23.8544,10.1634,16.75,23.25,30.5,34.75,41.25,48.5,5300,4.360301886792453,0.0606667,SG/SF,SG/SF,,,False,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,4fe5edea-4701-4fa3-b1d4-4cb03bcda76b,0355aef3-b83a-4834-8565-6e8d7d417935,3000,46.519,0.004,0.0,1733517444000,16.41837,15.674029999999998,5.395,18.7437,1.279333
2024-12-06,D'Angelo Russell,LAL,ATL,29.2064,15.6327,2.71,5.904,1.19667,0.324,2.226,2.46233,6.68067,3.06533,6.044,2.115,2.581,0.616667,2.09333,2.153,31.1702,11.3317,23.0,30.25,38.5625,43.0,51.0,60.7525,6300,4.7740793650793645,0.074,PG,PG,,,True,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,4fe5edea-4701-4fa3-b1d4-4cb03bcda76b,9cff2f2a-2804-41ae-9766-4d2206ef893e,3000,60.9757,0.089,0.000333333,1733517444000,18.3427,21.5367,8.614,24.2467,1.52067
2024-12-06,David Roddy,ATL,LAL,1.61632,0.831,0.208,0.147333,0.0466667,0.0123333,0.134667,0.120333,0.372667,0.145,0.281333,0.18,0.255667,0.0466667,0.161333,0.147,1.42283,2.87074,0.0,0.0,2.0,3.5,7.75,13.5025,3500,0.38398000000000004,0.0,SF/PF,SF/PF,,,False,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,4fe5edea-4701-4fa3-b1d4-4cb03bcda76b,344bfa9b-2398-4cff-aa75-1e000d09244c,3000,3.459,0.0,0.0,1733517444000,1.039,0.9783329999999999,0.355333,1.1863329999999999,0.059
